estimator,k,x_var,rmse,mean_bias,median_bias,sd,mae
gmm,2,_decay_rho0_9,0.04943669679055242,-1.1711892648521156e-4,9.713186040657962e-5,0.04943903007227714,0.032997420472331424
gmm,2,_diagish_rho0_5,0.049332605194730546,2.3744653823666717e-4,2.710890519163067e-4,0.049334500542064966,0.03213742853019505
gmm,2,_diagish_rho0_9,0.04943669679055242,-1.1711892648521156e-4,9.713186040657962e-5,0.04943903007227714,0.032997420472331424
gmm,5,,0.0678969393303031,4.3485908953651606e-4,1.2557533679449784e-4,0.06789690469809216,0.04233645796764568
gmm,5,_decay_rho0_5,0.07539168868737534,-8.370454204082286e-4,-7.857695769610817e-4,0.07538854963079546,0.04734257684677831
gmm,5,_decay_rho0_9,0.1364320812569589,-8.210452981105544e-4,-8.345903169240942e-4,0.1364323393922906,0.07721262209262708
gmm,5,_diagish_rho0_5,0.0772522094244085,-8.985349693190169e-4,-1.0675421567171717e-4,0.07724852871912287,0.048180446942790084
gmm,5,_diagish_rho0_9,0.13823208510491045,1.652227495809554e-4,2.2670663221706355e-4,0.13823475108579078,0.07862855118713333
gmm,10,,0.1600801305324907,-1.266490166509982e-4,2.202775464032955e-4,0.16008168125747346,0.09924438270739497
gmm,10,_decay_rho0_5,0.16982792364509464,6.323605431622054e-4,7.326156529735145e-4,0.16982844462503804,0.104344945175538
gmm,10,_decay_rho0_9,0.2572405696240749,6.507844826924751e-4,-6.426755815802654e-5,0.2572423188596461,0.15003623805765737
gmm,10,_diagish_rho0_5,0.17383554682905314,-4.7546636135413316e-4,0.00135969360450644,0.17383663496687998,0.1045155173021522
gmm,10,_diagish_rho0_9,7.450124799635287,0.08472955160262584,-6.687794476965547e-4,7.449717471088009,0.14843872319541251
cue,2,,0.04929251972928578,-3.439584043575017e-4,-3.3224453960165046e-4,0.049293784411386585,0.03253766490020649
cue,2,_decay_rho0_5,0.04933251350432625,2.3125217307638752e-4,8.565900862439468e-5,0.04933443827355244,0.03211899698688056
cue,2,_decay_rho0_9,0.04946661464629962,-1.0163628373532408e-4,2.8782135787719376e-5,0.04946898374402489,0.03295734314487092
cue,2,_diagish_rho0_5,0.04933251350432625,2.3125217307638752e-4,8.565900862439468e-5,0.04933443827355244,0.03211899698688056
