i,var,beta,ml,mom,gmm,cue,el,time
3,x5,0.5248501070702503,0.508656522372059,0.4776278373964931,0.4331092601721318,0.30495279308140355,0.5039458104223289,64.781
3,x6,0.43470301954500123,0.4927773241301483,0.4508637865095246,0.3968879333651828,0.48511821141968764,0.457651836813455,64.781
3,x7,0.07311400892392594,0.02330838292220009,0.03769262797674906,-0.013297229021346488,-0.09113751710536352,0.015454755151960313,64.781
3,x8,-0.4349025074531606,-0.46188680889288153,-0.44729351080501906,-0.4370969346859751,-0.47212841734060157,-0.4152872222351859,64.781
3,x9,0.816959542671122,0.9478103766377624,0.9120688981169094,0.9827318581708009,0.9520192236864256,0.9626308810888725,64.781
3,x10,-0.08535605663295354,-0.17638935365658823,-0.15364421795032734,-0.161366652852944,-0.32024407603016913,-0.16013364653470752,64.781
4,x1,0.17802075227450498,0.161955408386876,0.18806443592688118,0.23102187836803,0.35864900275156997,0.17209948432746988,80.11000000000001
4,x2,0.4605380203090397,0.44972881439408313,0.5336977457402299,0.47909555822377153,0.6724180105738828,0.44384511685461236,80.11000000000001
4,x3,0.7443340734628701,0.7098453071670402,0.8673816004547703,0.7890405759804918,0.6247484318187891,0.7261969183962995,80.11000000000001
4,x4,-0.1785541295863824,-0.19200585129019385,-0.24097832371905495,-0.16513909496845988,-0.17937531607978902,-0.17695270717811012,80.11000000000001
4,x5,-0.971452980316761,-1.0231867346051606,-1.1657310971650579,-1.1404592092514807,-1.1382194685258014,-1.0132865488695209,80.11000000000001
4,x6,-0.806683795943444,-0.8228702333926966,-0.889182136587219,-0.9177816692121212,-1.1701102916985409,-0.8073718615307979,80.11000000000001
4,x7,-0.10584357381227028,-0.05159923548917939,-0.03630272019932275,-0.09464555674668292,-0.2741254250296214,-0.08801800361284651,80.11000000000001
4,x8,-0.208026119803412,-0.18977262383660123,-0.2013506601269507,-0.2262314526861828,-0.10875669654923026,-0.19174748695853555,80.11000000000001
4,x9,0.8842711867597903,0.898759825813001,1.045444938029275,0.975271507090091,1.0166213918630542,0.8992071039513886,80.11000000000001
4,x10,0.597717857064054,0.5718200382024791,0.6828341141460882,0.6534975636195266,0.5335536753341029,0.5660425126718847,80.11000000000001
5,x1,0.7597058503932361,0.7721364455385651,0.7802269043435887,0.8178902890647634,0.8723180183013922,0.7433151516781857,61.486
5,x2,0.24450645243221492,0.3012923959174188,0.2999949457960384,0.3491491160075112,0.4918400341498764,0.30486081140761156,61.486
5,x3,-0.7494233101327086,-0.8221302913131376,-0.8219184029293867,-0.9588453775100718,-0.940084674003935,-0.8404274760643727,61.486
5,x4,0.5383701897182036,0.5809388987884143,0.5797535527333924,0.5923792466195861,0.7050734229831122,0.6293940342575203,61.486
5,x5,-0.8634003176324223,-1.0174258462512678,-1.0223569259837633,-1.204965218507223,-1.13443470252679,-0.9966380352648894,61.486
5,x6,-0.31328504326829887,-0.35673548094467944,-0.35987111089563195,-0.43329616841837976,-0.4499767113786728,-0.3644017963500938,61.486
5,x7,-0.575191856743746,-0.5463335804381271,-0.5350106780635877,-0.639707078354925,-0.6038645478337059,-0.5142303230692431,61.486
5,x8,0.8283432150016048,0.9159060655683963,0.9220174679217262,0.9584362823443271,1.0607672991467012,0.8924947303151838,61.486
5,x9,-0.029601995869822484,-0.01942584745019704,-0.019385085257105656,-0.03466821527488083,0.017758459555244438,0.035076749497669334,61.486
5,x10,0.46277592244031673,0.4059660710589911,0.41026036126383536,0.4410920395335428,0.5234972272669345,0.4016444820167434,61.486
6,x1,-0.7485408330560879,-0.7753736950764546,-0.7837345845627495,-0.9797843592016825,-0.9845028467146645,-0.8485287075975608,64.816
6,x2,0.36781406740316336,0.3835357588739733,0.3631824610762494,0.05130476290654533,0.5673153570493781,0.3422847793196861,64.816
6,x3,-0.974092299726605,-0.9514536862043174,-0.9224019850364926,-0.909768982125654,-1.1149649860936919,-0.9967405452792557,64.816
6,x4,-0.5887258105107975,-0.666726249296189,-0.7455703156165469,-0.8087804830385862,-0.9216479998885758,-0.6587034706368757,64.816
6,x5,0.8312795546152973,0.8341005939413147,0.7875699344190846,0.7013045691959596,0.8381387626558477,0.8550468021896517,64.816
6,x6,-0.10176517049948575,-0.1069409569047348,-0.20096283822246958,-0.19848170276057495,-0.18513745497091394,-0.19055777160968385,64.816
6,x7,-0.12176236913692495,-0.16842643036231716,-0.1431549170747442,-0.36048570358703486,-0.28355693366112,-0.14873542512063223,64.816
6,x8,0.6401628770758117,0.6439981362443779,0.5563686189758408,0.7608099639799973,0.6969692468906912,0.7110905409810281,64.816
6,x9,0.7331064959257263,0.6591325081725605,0.5733732292328119,0.6985707516091358,0.9699823039324564,0.576641923199677,64.816
6,x10,0.829083407868014,0.8865033428177164,0.9718811199735811,1.339256697014604,1.1207686269262074,0.9025502460674419,64.816
7,x1,0.6101422395812317,0.6510029919349365,0.44351689667341315,0.7656460764464178,0.6784222357642677,0.7133081730024151,51.245000000000005
7,x2,-0.15715183892463847,-0.1870461181497181,-0.15920942798610543,-0.31834793559074415,-0.28016117973878973,-0.20396243753241872,51.245000000000005
7,x3,0.8653758312571267,0.8881202225619108,0.6744681838974916,1.062969382582214,1.1359902630226422,0.8869607171386883,51.245000000000005
7,x4,0.37301789307680977,0.3502156333109547,0.24890033560916866,0.2808152173447195,0.5524665035929742,0.3274063776423936,51.245000000000005
7,x5,0.8252061730350566,0.8019245251547092,0.5576170128840068,0.9056716174539062,0.8926444838479349,0.841397857154118,51.245000000000005
7,x6,0.25735246053182337,0.2385146468257897,0.283017263678936,0.23109095589297593,0.2516791904087451,0.332886453234327,51.245000000000005
7,x7,-0.7486975821035674,-0.7610865764711962,-0.7175743541456229,-0.9283011155213631,-0.9778868057304138,-0.9137010798575763,51.245000000000005
7,x8,-0.9780531170393918,-0.9770995644610877,-0.8640039656505362,-1.135834284370509,-1.2160708634823387,-1.0570164702902607,51.245000000000005
