i,var,beta,ml,mom,gmm,cue,el,time
6,x8,0.6401628770758117,0.6439981362443779,0.5563686189758408,0.7608099639799973,0.6969692468906912,0.7110905409810281,76.96699999999998
6,x9,0.7331064959257263,0.6591325081725605,0.5733732292328119,0.6985707516091358,0.9699823039324564,0.576641923199677,76.96699999999998
6,x10,0.829083407868014,0.8865033428177164,0.9718811199735811,1.339256697014604,1.1207686269262074,0.9025502460674419,76.96699999999998
7,x1,0.6101422395812317,0.6510029919349365,0.44351689667341315,0.7656460764464178,0.6784222357642677,0.7133081730024151,60.13499999999999
7,x2,-0.15715183892463847,-0.1870461181497181,-0.15920942798610543,-0.31834793559074415,-0.28016117973878973,-0.20396243753241872,60.13499999999999
7,x3,0.8653758312571267,0.8881202225619108,0.6744681838974916,1.062969382582214,1.1359902630226422,0.8869607171386883,60.13499999999999
7,x4,0.37301789307680977,0.3502156333109547,0.24890033560916866,0.2808152173447195,0.5524665035929742,0.3274063776423936,60.13499999999999
7,x5,0.8252061730350566,0.8019245251547092,0.5576170128840068,0.9056716174539062,0.8926444838479349,0.841397857154118,60.13499999999999
7,x6,0.25735246053182337,0.2385146468257897,0.283017263678936,0.23109095589297593,0.2516791904087451,0.332886453234327,60.13499999999999
7,x7,-0.7486975821035674,-0.7610865764711962,-0.7175743541456229,-0.9283011155213631,-0.9778868057304138,-0.9137010798575763,60.13499999999999
7,x8,-0.9780531170393918,-0.9770995644610877,-0.8640039656505362,-1.135834284370509,-1.2160708634823387,-1.0570164702902607,60.13499999999999
7,x9,0.2214299799076831,0.27216990499249705,0.08345712968600735,0.27607391838700235,0.36359821947324256,0.25154353042196875,60.13499999999999
7,x10,0.8380616326622712,0.8107473382032,0.6083067688577681,0.9361131349192525,1.0501683489552995,0.8497357011746388,60.13499999999999
8,x1,0.5889456296574072,0.5944650481820646,0.5882765224097823,0.5132771625807351,0.5830199864596368,0.6092434803054567,40.90300000000002
