i,ml,mom,gmm,cue,el
433,0,1,0,1,0
434,0,1,1,1,0
435,0,1,0,1,0
436,0,0,0,1,1
437,0,1,1,1,0
438,0,0,1,1,0
439,0,0,0,1,0
440,0,1,1,0,0
441,0,0,0,1,1
442,0,1,0,1,1
443,0,0,0,0,0
444,0,0,0,0,0
445,0,0,0,0,1
446,0,1,0,1,0
447,0,1,0,0,0
448,0,1,1,1,1
449,0,0,0,0,0
450,0,1,0,0,0
451,0,1,0,1,0
452,0,1,0,0,0
453,0,1,0,0,1
454,0,0,0,0,0
455,0,1,1,0,1
456,0,1,1,0,0
457,0,0,0,1,0
458,0,1,1,1,1
459,0,0,1,1,0
460,0,1,0,10,0
461,0,0,0,0,0
462,0,1,1,0,0
463,0,1,1,0,1
464,0,0,1,0,1
465,0,0,0,0,0
466,0,1,0,0,1
467,0,1,0,0,0
468,0,0,0,0,0
469,0,1,1,0,1
470,0,1,0,0,0
471,0,1,0,1,1
472,0,1,1,0,1
473,0,0,0,0,0
474,0,1,0,1,0
475,0,1,0,0,0
476,0,0,0,1,0
477,0,1,1,0,1
478,0,1,1,0,0
479,0,1,1,0,0
480,0,1,1,1,1
481,0,1,0,0,0
482,0,0,1,0,0
483,0,0,1,0,0
484,0,1,1,10,0
485,0,1,1,0,0
486,0,0,1,0,1
487,0,0,0,0,1
488,0,0,1,1,0
489,0,1,0,1,1
490,0,1,0,0,0
491,0,0,1,1,0
492,0,0,0,0,0
493,0,1,0,0,1
494,0,1,1,1,1
495,0,0,1,1,0
496,0,1,0,1,1
497,0,1,0,1,0
498,0,0,0,1,1
499,0,0,0,1,1
500,0,0,1,1,0
501,0,1,0,0,1
502,0,0,0,0,0
503,0,1,0,0,0
504,0,1,1,1,1
505,0,0,0,0,0
506,0,1,1,1,1
507,0,1,0,1,0
508,0,1,0,1,0
509,0,1,0,0,0
510,0,10,0,0,1
511,0,1,0,1,1
512,0,0,0,1,1
513,0,0,0,0,0
514,0,0,0,0,0
515,0,1,0,0,0
516,0,1,0,0,0
517,0,0,1,1,0
518,0,1,0,0,0
519,0,1,0,1,0
520,0,1,0,0,0
521,0,0,0,1,0
522,0,0,1,0,0
523,0,1,1,0,0
524,0,0,0,1,0
525,0,1,0,1,1
526,0,1,1,1,1
527,0,1,0,0,1
528,0,1,0,0,0
529,0,0,0,1,1
530,0,0,0,0,0
531,0,0,0,0,1
532,0,0,1,1,1
533,0,1,0,1,0
534,0,1,1,1,0
535,0,1,0,0,0
536,0,1,0,1,0
537,0,0,1,0,0
538,0,1,0,0,1
539,0,1,1,0,0
540,0,1,0,1,0
541,0,0,0,0,0
542,0,1,0,1,1
543,0,0,0,0,0
544,0,1,0,0,0
545,0,0,0,0,0
546,0,0,1,1,0
547,0,1,0,0,0
548,0,0,1,0,1
549,0,0,0,1,0
550,0,0,0,1,0
551,0,0,0,0,0
552,0,1,0,0,1
553,0,0,1,1,1
554,0,0,0,1,1
555,0,1,0,0,0
556,0,0,1,0,1
557,0,0,0,0,0
558,0,1,1,1,0
559,0,1,0,1,1
560,0,1,0,0,0
561,0,0,1,1,1
562,0,1,0,0,1
563,0,1,1,1,0
564,0,0,0,0,0
565,0,0,0,0,1
566,0,1,1,1,0
567,0,0,0,1,0
568,0,1,1,1,1
569,0,0,1,0,0
570,0,0,0,1,1
571,0,1,1,0,1
572,0,1,0,0,0
573,0,1,1,1,0
574,0,1,0,0,1
575,0,1,0,1,0
576,0,1,0,0,1
577,0,1,1,1,0
578,0,1,1,0,0
579,0,0,1,0,1
580,0,1,0,0,0
581,0,1,0,1,1
582,0,0,1,0,0
583,0,1,0,1,0
584,0,1,0,1,0
585,0,0,0,0,0
586,0,1,1,1,0
587,0,0,1,1,1
588,0,1,0,0,0
589,0,1,0,0,0
590,0,1,1,0,0
591,0,1,1,1,1
592,0,0,0,0,0
593,0,1,1,1,1
594,0,0,0,0,0
595,0,1,1,1,1
596,0,1,0,0,0
597,0,1,10,1,1
598,0,0,1,1,0
599,0,1,0,1,0
600,0,0,0,1,0
601,0,1,0,1,1
602,0,1,0,0,0
603,0,0,1,0,0
604,0,1,0,0,0
605,0,1,1,1,0
606,0,1,1,1,1
607,0,1,0,1,0
608,0,1,1,1,0
609,0,1,0,1,0
610,0,1,0,0,0
611,0,1,0,0,0
612,0,0,0,0,0
613,0,1,0,0,0
614,0,0,0,0,0
615,0,0,0,1,0
616,0,1,0,0,0
617,0,0,1,0,0
618,0,0,0,0,0
619,0,1,1,0,0
620,0,0,0,0,0
621,0,0,0,0,0
622,0,0,0,1,0
623,0,1,0,0,1
624,0,0,0,0,0
625,0,1,0,0,0
626,0,1,1,1,1
627,0,1,1,0,0
628,0,0,1,0,1
629,0,1,0,0,0
630,0,0,0,0,0
631,0,1,0,0,1
632,0,1,1,1,0
633,0,0,0,1,0
634,0,1,0,1,1
635,0,1,0,0,0
636,0,0,0,1,0
637,0,0,0,1,0
638,0,1,1,1,0
639,0,1,0,0,0
640,0,1,0,0,0
641,0,0,1,0,0
642,0,0,1,1,0
643,0,0,1,1,1
644,0,0,0,0,1
645,0,1,0,1,1
646,0,1,0,0,1
647,0,1,0,0,0
648,0,0,1,1,0
649,0,1,0,0,1
650,0,1,0,0,0
651,0,0,0,1,1
652,0,1,1,0,1
653,0,1,1,1,1
654,0,1,0,0,0
655,0,1,0,0,0
656,0,1,1,1,1
657,0,0,0,0,1
658,0,0,0,1,1
659,0,1,0,1,0
660,0,0,1,0,1
661,0,0,1,1,1
662,0,1,0,0,1
663,0,1,0,0,0
664,0,1,1,0,0
665,0,1,0,0,1
666,0,1,0,1,0
667,0,0,0,0,0
668,0,1,1,0,1
669,0,1,0,1,1
670,0,1,0,0,0
671,0,0,0,1,1
672,0,1,0,0,1
673,0,1,0,0,1
674,0,1,0,0,1
675,0,0,0,0,0
676,0,1,0,0,0
677,0,1,0,0,1
678,0,0,0,0,0
679,0,0,1,0,1
680,0,1,0,0,0
681,0,0,1,0,0
682,0,1,0,0,0
683,0,1,1,0,1
684,0,1,1,1,0
685,0,1,1,1,0
686,0,1,0,0,0
687,0,1,0,0,0
688,0,1,0,1,0
689,0,1,0,0,0
690,0,1,0,0,1
691,0,0,1,0,0
692,0,1,0,0,1
693,0,0,0,0,1
694,0,0,0,0,0
695,0,1,0,1,0
696,0,0,1,1,0
697,0,0,0,0,0
698,0,1,0,1,1
699,0,1,1,0,0
700,0,1,0,0,0
701,0,1,0,1,1
702,0,0,1,0,0
703,0,0,1,0,0
704,0,0,0,0,0
705,0,0,0,1,0
706,0,1,0,1,0
707,0,0,1,1,1
708,0,1,0,0,0
709,0,1,1,0,0
710,0,1,1,0,0
711,0,1,0,0,0
712,0,1,1,1,0
713,0,0,1,0,0
714,0,1,0,1,1
715,0,0,1,0,0
716,0,1,1,1,1
717,0,0,0,1,0
718,0,1,0,1,0
719,0,1,0,1,0
720,0,1,0,1,0
721,0,0,0,0,0
722,0,1,0,0,1
723,0,1,1,1,1
